Run_No.	Date	ID	Peak_No.	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_sd_QF	Si(OH)4_cd_CF	Si(OH)4_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_sd_QF	NO2_cd_CF	NO2_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	T(D)N_mean	T(D)N_mean_QF	T(D)N_sd	T(D)N_sd_QF	T(D)N_CF	T(D)N_CF_QF	T(D)N_mean_c	T(D)N_mean_c_QF	T(D)N_sd_c	T(D)N_sd_c_QF	T(D)P_mean	T(D)P_mean_QF	T(D)P_sd	T(D)P_sd_QF	T(D)P_CF	T(D)P_CF_QF	T(D)P_mean_c	T(D)P_mean_c_QF	T(D)P_sd_c	T(D)P_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_sd_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF

1	09.02.21	521	85	2.191	2	0.001	2	0.931	11	2.039	2	0.001	2	2.744	2	0.002	2	1.230	11	3.374	2	0.003	2	0.327	2	0.000	2	1.000	2	0.327	2	0.000	2	0.043	2	0.001	2	0.367	2	0.016	2	0.001	2	5.394	2	0.015	2	1.206	2	6.507	2	0.018	2	0.217	4	0.009	4	1.209	4	0.262	4	0.011	4	0.425	2	0.002	2	1.136	2	0.482	2	0.002	2

1	09.02.21	522	87	2.177	2	0.001	2	0.931	11	2.025	2	0.001	2	2.769	2	0.004	2	1.230	11	3.405	2	0.004	2	0.324	2	0.003	2	1.000	2	0.324	2	0.003	2	0.027	2	0.001	2	0.367	2	0.010	2	0.000	2	5.489	2	0.050	2	1.206	2	6.622	2	0.061	2	0.239	4	0.012	4	1.209	4	0.288	4	0.015	4	0.284	2	0.003	2	1.136	2	0.322	2	0.003	2

1	09.02.21	677	91	13.210	2	0.009	2	0.931	11	12.293	2	0.009	2	4.388	2	0.001	2	1.230	11	5.396	2	0.001	2	0.877	2	0.004	2	1.000	2	0.877	2	0.004	2	0.025	2	0.000	2	0.367	2	0.009	2	0.000	2	12.705	2	0.243	2	1.206	2	15.328	2	0.293	2	0.637	4	0.021	4	1.209	4	0.770	4	0.026	4	0.570	2	0.032	2	1.136	2	0.647	2	0.036	2

1	09.02.21	678	93	13.161	2	0.013	2	0.931	11	12.247	2	0.013	2	4.419	2	0.008	2	1.230	11	5.435	2	0.010	2	0.721	2	0.000	2	1.000	2	0.721	2	0.000	2	0.020	2	0.001	2	0.367	2	0.007	2	0.000	2	12.655	2	0.076	2	1.206	2	15.267	2	0.092	2	0.498	4	0.008	4	1.209	4	0.601	4	0.009	4	0.258	2	0.013	2	1.136	2	0.293	2	0.014	2

1	09.02.21	679	95	11.624	2	0.013	2	0.931	11	10.817	2	0.013	2	4.063	2	0.009	2	1.230	11	4.996	2	0.011	2	0.794	2	0.001	2	1.000	2	0.794	2	0.001	2	0.019	2	0.001	2	0.367	2	0.007	2	0.001	2	11.641	2	0.016	2	1.206	2	14.044	2	0.019	2	0.552	4	0.006	4	1.209	4	0.667	4	0.007	4	0.316	2	0.005	2	1.136	2	0.358	2	0.006	2

1	09.02.21	680	97	7.083	2	0.008	2	0.931	11	6.591	2	0.008	2	2.180	2	0.002	2	1.230	11	2.681	2	0.003	2	0.564	2	0.000	2	1.000	2	0.564	2	0.000	2	0.027	2	0.001	2	0.367	2	0.010	2	0.001	2	8.322	2	0.043	2	1.206	2	10.039	2	0.052	2	0.395	4	0.007	4	1.209	4	0.478	4	0.009	4	0.313	2	0.002	2	1.136	2	0.355	2	0.002	2

1	09.02.21	681	99	6.583	2	0.005	2	0.931	11	6.126	2	0.005	2	2.000	2	0.000	2	1.230	11	2.460	2	0.000	2	0.533	2	0.000	2	1.000	2	0.533	2	0.000	2	0.023	2	0.000	2	0.367	2	0.008	2	0.000	2	8.086	2	0.003	2	1.206	2	9.755	2	0.003	2	0.364	4	0.008	4	1.209	4	0.439	4	0.009	4	0.433	2	0.001	2	1.136	2	0.491	2	0.001	2

1	09.02.21	682	101	5.840	2	0.001	2	0.931	11	5.435	2	0.001	2	1.988	2	0.007	2	1.230	11	2.445	2	0.009	2	0.496	2	0.002	2	1.000	2	0.496	2	0.002	2	0.027	2	0.001	2	0.367	2	0.010	2	0.001	2	7.425	2	0.005	2	1.206	2	8.957	2	0.006	2	0.346	4	0.003	4	1.209	4	0.418	4	0.003	4	0.388	2	0.002	2	1.136	2	0.440	2	0.002	2

1	09.02.21	683	103	4.849	2	0.016	2	0.931	11	4.512	2	0.015	2	1.928	2	0.006	2	1.230	11	2.371	2	0.007	2	0.433	2	0.001	2	1.000	2	0.433	2	0.001	2	0.024	2	0.001	2	0.367	2	0.009	2	0.000	2	6.825	2	0.024	2	1.206	2	8.234	2	0.029	2	0.285	4	0.004	4	1.209	4	0.345	4	0.005	4	0.449	2	0.001	2	1.136	2	0.510	2	0.002	2

1	09.02.21	684	105	4.632	2	0.002	2	0.931	11	4.310	2	0.002	2	1.891	2	0.004	2	1.230	11	2.325	2	0.004	2	0.419	2	0.001	2	1.000	2	0.419	2	0.001	2	0.020	2	0.001	2	0.367	2	0.007	2	0.000	2	6.267	2	0.023	2	1.206	2	7.560	2	0.028	2	0.282	4	0.006	4	1.209	4	0.341	4	0.007	4	0.101	2	0.004	2	1.136	2	0.115	2	0.005	2

1	09.02.21	685	107	4.635	2	0.001	2	0.931	11	4.313	2	0.001	2	1.875	2	0.005	2	1.230	11	2.305	2	0.006	2	0.418	2	0.000	2	1.000	2	0.418	2	0.000	2	0.024	2	0.001	2	0.367	2	0.009	2	0.000	2	6.722	2	0.007	2	1.206	2	8.110	2	0.009	2	0.290	4	0.001	4	1.209	4	0.350	4	0.001	4	0.439	2	0.006	2	1.136	2	0.498	2	0.007	2

1	09.02.21	686	109	4.623	2	0.006	2	0.931	11	4.302	2	0.006	2	1.868	2	0.006	2	1.230	11	2.297	2	0.007	2	0.425	2	0.000	2	1.000	2	0.425	2	0.000	2	0.018	2	0.000	2	0.367	2	0.007	2	0.000	2	6.386	2	0.023	2	1.206	2	7.704	2	0.028	2	0.297	4	0.003	4	1.209	4	0.359	4	0.003	4	0.141	2	0.005	2	1.136	2	0.160	2	0.006	2

1	09.02.21	687	111	4.622	2	0.001	2	0.931	11	4.301	2	0.001	2	1.884	2	0.004	2	1.230	11	2.317	2	0.004	2	0.427	2	0.002	2	1.000	2	0.427	2	0.002	2	0.024	2	0.000	2	0.367	2	0.009	2	0.000	2	6.394	2	0.001	2	1.206	2	7.713	2	0.001	2	0.293	4	0.001	4	1.209	4	0.354	4	0.001	4	0.157	2	0.002	2	1.136	2	0.178	2	0.002	2

1	09.02.21	688	113	4.633	2	0.002	2	0.931	11	4.311	2	0.002	2	1.874	2	0.006	2	1.230	11	2.304	2	0.008	2	0.430	2	0.000	2	1.000	2	0.430	2	0.000	2	0.024	2	0.000	2	0.367	2	0.009	2	0.000	2	6.776	2	0.023	2	1.206	2	8.175	2	0.027	2	0.295	4	0.001	4	1.209	4	0.356	4	0.001	4	0.594	2	0.007	2	1.136	2	0.675	2	0.008	2

1	09.02.21	712	115	13.172	2	0.042	2	0.931	11	12.257	2	0.039	2	4.347	2	0.013	2	1.230	11	5.346	2	0.016	2	0.850	2	0.001	2	1.000	2	0.850	2	0.001	2	0.015	2	0.001	2	0.367	2	0.005	2	0.000	2	12.719	2	0.011	2	1.206	2	15.345	2	0.014	2	0.603	4	0.004	4	1.209	4	0.729	4	0.005	4	0.068	2	0.008	2	1.136	2	0.077	2	0.010	2

1	09.02.21	713	117	11.614	2	0.015	2	0.931	11	10.808	2	0.014	2	4.192	2	0.006	2	1.230	11	5.155	2	0.008	2	0.798	2	0.001	2	1.000	2	0.798	2	0.001	2	0.018	2	0.001	2	0.367	2	0.007	2	0.001	2	11.821	2	0.006	2	1.206	2	14.261	2	0.007	2	0.560	4	0.000	4	1.209	4	0.677	4	0.000	4	0.222	2	0.001	2	1.136	2	0.252	2	0.001	2

1	09.02.21	714	119	6.913	2	0.012	2	0.931	11	6.433	2	0.011	2	2.119	2	0.001	2	1.230	11	2.606	2	0.001	2	0.552	2	0.002	2	1.000	2	0.552	2	0.002	2	0.015	2	0.001	2	0.367	2	0.005	2	0.000	2	7.887	2	0.035	2	1.206	2	9.515	2	0.043	2	0.381	4	0.001	4	1.209	4	0.461	4	0.002	4	0.055	2	0.004	2	1.136	2	0.062	2	0.004	2

1	09.02.21	715	121	6.565	2	0.001	2	0.931	11	6.109	2	0.001	2	2.118	2	0.017	2	1.230	11	2.605	2	0.021	2	0.525	2	0.001	2	1.000	2	0.525	2	0.001	2	0.023	2	0.001	2	0.367	2	0.008	2	0.001	2	7.811	2	0.023	2	1.206	2	9.423	2	0.028	2	0.374	4	0.007	4	1.209	4	0.452	4	0.009	4	0.149	2	0.001	2	1.136	2	0.169	2	0.002	2

1	09.02.21	716	123	6.286	2	0.004	2	0.931	11	5.849	2	0.003	2	2.227	2	0.005	2	1.230	11	2.738	2	0.006	2	0.522	2	0.001	2	1.000	2	0.522	2	0.001	2	0.016	2	0.001	2	0.367	2	0.006	2	0.001	2	7.549	2	0.011	2	1.206	2	9.107	2	0.013	2	0.368	4	0.000	4	1.209	4	0.445	4	0.000	4	0.074	2	0.003	2	1.136	2	0.084	2	0.003	2

1	09.02.21	717	125	4.901	2	0.004	2	0.931	11	4.561	2	0.004	2	2.051	2	0.006	2	1.230	11	2.522	2	0.008	2	0.448	2	0.001	2	1.000	2	0.448	2	0.001	2	0.018	2	0.001	2	0.367	2	0.006	2	0.000	2	6.647	2	0.003	2	1.206	2	8.019	2	0.003	2	0.311	4	0.006	4	1.209	4	0.376	4	0.007	4	0.110	2	0.000	2	1.136	2	0.125	2	0.000	2

