Run No.	Date	Sample ID	PO4_mean	PO4_mean_QF	PO4_sd	PO4_sd_QF	PO4_cd_CF	PO4_cd_CF_QF	PO4_mean_c	PO4_mean_c_QF	PO4_sd_c	PO4_sd_c_QF	NO2_mean	NO2_mean_QF	NO2_stdev	NO2_stdev_QF	NO2_cd_CF	NO2_cd_CF_QF	NO2_mean_c	NO2_mean_c_QF	NO2_sd_c	NO2_sd_c_QF	N3N2_mean	N3N2_mean_QF	N3N2_sd	N3N2_sd_QF	NO3+NO2_cd_CF	NO3+NO2_cd_CF_QF	N3N2_mean_c	N3N2_mean_c_QF	N3N2_sd_c	N3N2_sd_c_QF	Si_mean	Si_mean_QF	Si_stdev	Si_stdev_QF	Si(OH)4_cd_CF	Si(OH)4_cd_CF_QF	Si_mean_c	Si_mean_c_QF	Si_sd_c	Si_sd_c_QF	NH4_mean	NH4_mean_QF	NH4_stdev	NH4_stdev_QF	NH4_cd_CF	NH4_cd_CF_QF	NH4_mean_c	NH4_mean_c_QF	NH4_sd_c	NH4_sd_c_QF
3	03.11.19	???	0.245	2	0.006	2	0.913	2	0.224	2	0.005	2	0.114	2	0.001	2	0.432	2	0.049	2	0.000	2	0.314	2	0.006	2	0.938	2	0.295	2	0.005	2	0.872	2	0.022	2	1.180	2	1.028	2	0.026	2	0.474	2	0.011	2	0.597	2	0.283	2	0.007	2
3	03.11.19	???	0.116	2	0.005	2	0.913	2	0.105	2	0.005	2	0.034	2	0.002	2	0.432	2	0.014	2	0.001	2	0.111	2	0.001	2	0.938	2	0.104	2	0.001	2	0.608	2	0.006	2	1.180	2	0.717	2	0.007	2	0.310	2	0.001	2	0.597	2	0.185	2	0.001	2
3	03.11.19	???	0.073	2	0.003	2	0.913	2	0.067	2	0.003	2	0.021	2	0.001	2	0.432	2	0.009	2	0.001	2	0.145	2	0.001	2	0.938	2	0.136	2	0.001	2	0.335	2	0.004	2	1.180	2	0.395	2	0.004	2	0.226	2	0.003	2	0.597	2	0.135	2	0.002	2
3	03.11.19	???	0.091	2	0.005	2	0.913	2	0.083	2	0.005	2	0.029	2	0.001	2	0.432	2	0.012	2	0.000	2	0.025	2	0.005	2	0.938	2	0.023	2	0.005	2	0.439	2	0.002	2	1.180	2	0.517	2	0.003	2	0.304	2	0.001	2	0.597	2	0.182	2	0.001	2
3	03.11.19	???	0.089	2	0.004	2	0.913	2	0.081	2	0.003	2	0.023	2	0.001	2	0.432	2	0.010	2	0.000	2	-0.005	2	0.001	2	0.938	2	-0.005	2	0.001	2	0.391	2	0.008	2	1.180	2	0.461	2	0.010	2	0.252	2	0.003	2	0.597	2	0.151	2	0.002	2
3	03.11.19	???	0.128	2	0.001	2	0.913	2	0.116	2	0.001	2	0.043	2	0.001	2	0.432	2	0.018	2	0.000	2	0.153	2	0.000	2	0.938	2	0.144	2	0.000	2	0.484	2	0.001	2	1.180	2	0.571	2	0.002	2	0.493	2	0.002	2	0.597	2	0.294	2	0.001	2
3	03.11.19	???	0.167	2	0.001	2	0.913	2	0.152	2	0.001	2	0.063	2	0.000	2	0.432	2	0.027	2	0.000	2	0.241	2	0.001	2	0.938	2	0.226	2	0.001	2	0.543	2	0.000	2	1.180	2	0.641	2	0.000	2	0.502	2	0.001	2	0.597	2	0.300	2	0.001	2
3	03.11.19	???	0.097	2	0.004	2	0.913	2	0.088	2	0.003	2	0.036	2	0.001	2	0.432	2	0.015	2	0.000	2	0.080	2	0.004	2	0.938	2	0.075	2	0.004	2	0.408	2	0.003	2	1.180	2	0.481	2	0.003	2	0.379	2	0.003	2	0.597	2	0.226	2	0.002	2
3	03.11.19	???	0.092	2	0.001	2	0.913	2	0.084	2	0.001	2	0.030	2	0.001	2	0.432	2	0.013	2	0.001	2	0.071	2	0.001	2	0.938	2	0.067	2	0.001	2	0.398	2	0.003	2	1.180	2	0.470	2	0.003	2	0.351	2	0.002	2	0.597	2	0.209	2	0.001	2
3	03.11.19	???	0.057	2	0.006	2	0.913	2	0.052	2	0.006	2	0.015	2	0.001	2	0.432	2	0.006	2	0.000	2	1.461	2	0.015	2	0.938	2	1.370	2	0.014	2	0.002	2	0.004	2	1.180	2	0.002	2	0.004	2	1.287	2	0.018	2	0.597	2	0.769	2	0.011	2
3	03.11.19	???	0.084	2	0.001	2	0.913	2	0.076	2	0.001	2	0.025	2	0.001	2	0.432	2	0.011	2	0.000	2	0.054	2	0.002	2	0.938	2	0.050	2	0.002	2	0.353	2	0.013	2	1.180	2	0.416	2	0.016	2	0.249	2	0.035	2	0.597	2	0.148	2	0.021	2
3	03.11.19	???	0.095	2	0.001	2	0.913	2	0.086	2	0.001	2	0.033	2	0.001	2	0.432	2	0.014	2	0.001	2	0.086	2	0.001	2	0.938	2	0.080	2	0.001	2	0.350	2	0.002	2	1.180	2	0.412	2	0.003	2	0.409	2	0.003	2	0.597	2	0.244	2	0.002	2
3	03.11.19	???	0.075	2	0.002	2	0.913	2	0.068	2	0.002	2	0.021	2	0.001	2	0.432	2	0.009	2	0.000	2	0.018	2	0.001	2	0.938	2	0.016	2	0.001	2	0.323	2	0.003	2	1.180	2	0.381	2	0.003	2	0.279	2	0.001	2	0.597	2	0.166	2	0.000	2
3	03.11.19	???	0.034	2	0.001	2	0.913	2	0.031	2	0.001	2	0.004	2	0.001	2	0.432	2	0.002	2	0.001	2	0.882	2	0.001	2	0.938	2	0.827	2	0.001	2	-0.018	2	0.004	2	1.180	2	-0.018	2	0.004	2	0.921	2	0.013	2	0.597	2	0.550	2	0.008	2
3	03.11.19	???	0.129	2	0.001	2	0.913	2	0.118	2	0.001	2	0.039	2	0.001	2	0.432	2	0.017	2	0.001	2	0.110	2	0.004	2	0.938	2	0.103	2	0.003	2	0.535	2	0.001	2	1.180	2	0.631	2	0.001	2	0.464	2	0.022	2	0.597	2	0.277	2	0.013	2
3	03.11.19	???	0.073	2	0.000	2	0.913	2	0.067	2	0.000	2	0.022	2	0.002	2	0.432	2	0.009	2	0.001	2	0.042	2	0.000	2	0.938	2	0.039	2	0.000	2	0.317	2	0.002	2	1.180	2	0.373	2	0.003	2	0.409	2	0.000	2	0.597	2	0.244	2	0.000	2
3	03.11.19	???	0.050	2	0.002	2	0.913	2	0.045	2	0.002	2	0.023	2	0.001	2	0.432	2	0.010	2	0.000	2	-0.030	2	0.004	2	0.938	2	-0.030	2	0.004	2	0.420	2	0.001	2	1.180	2	0.495	2	0.001	2	0.152	2	0.006	2	0.597	2	0.091	2	0.004	2
3	03.11.19	???	0.079	2	0.001	2	0.913	2	0.072	2	0.001	2	0.023	2	0.001	2	0.432	2	0.010	2	0.001	2	0.021	2	0.005	2	0.938	2	0.019	2	0.005	2	0.384	2	0.003	2	1.180	2	0.453	2	0.003	2	0.168	2	0.004	2	0.597	2	0.100	2	0.002	2
3	03.11.19	???	0.068	2	0.004	2	0.913	2	0.062	2	0.003	2	0.015	2	0.001	2	0.432	2	0.006	2	0.000	2	0.051	2	0.008	2	0.938	2	0.047	2	0.007	2	0.516	2	0.001	2	1.180	2	0.608	2	0.001	2	0.291	2	0.001	2	0.597	2	0.174	2	0.001	2
3	03.11.19	???	0.438	2	0.001	2	0.913	2	0.400	2	0.001	2	0.099	2	0.000	2	0.432	2	0.043	2	0.000	2	0.381	2	0.002	2	0.938	2	0.357	2	0.002	2	4.300	2	0.005	2	1.180	2	5.074	2	0.006	2	1.150	2	0.001	2	0.597	2	0.687	2	0.000	2
3	03.11.19	???	0.432	2	0.001	2	0.913	2	0.394	2	0.001	2	0.095	2	0.001	2	0.432	2	0.041	2	0.001	2	0.383	2	0.001	2	0.938	2	0.359	2	0.001	2	4.165	2	0.004	2	1.180	2	4.915	2	0.005	2	1.370	2	0.001	2	0.597	2	0.818	2	0.000	2
3	03.11.19	Brine	0.422	2	0.010	2	0.913	2	0.386	2	0.010	2	0.094	2	0.004	2	0.432	2	0.041	2	0.002	2	0.316	2	0.022	2	0.938	2	0.297	2	0.021	2	4.187	2	0.121	2	1.180	2	4.941	2	0.143	2	3.341	2	3.731	2	0.597	2	1.996	2	2.229	2
3	03.11.19	TM Snow	0.018	2	0.001	2	0.913	2	0.016	2	0.001	2	0.003	2	0.000	2	0.432	2	0.001	2	0.000	2	1.519	2	0.011	2	0.938	2	1.424	2	0.010	2	0.185	2	0.016	2	1.180	2	0.218	2	0.019	2	1.685	2	0.015	2	0.597	2	1.006	2	0.009	2
																																																				
4	05.11.19	UW	0.283	2	0.002	2	0.912	2	0.258	2	0.001	2	0.078	2	0.001	2	0.391	2	0.030	2	0.000	2	0.827	2	0.025	2	0.981	2	0.811	2	0.024	2	1.726	2	0.001	2	1.596	2	2.755	2	0.002	2	0.350	2	0.004	2	0.626	2	0.219	2	0.002	2
4	05.11.19	50	0.077	2	0.001	2	0.912	2	0.070	2	0.001	2	0.030	2	0.000	2	0.391	2	0.012	2	0.000	2	0.198	2	0.004	2	0.981	2	0.194	2	0.003	2	1.079	2	0.001	2	1.596	2	1.722	2	0.002	2	0.441	2	0.011	2	0.626	2	0.276	2	0.007	2
4	05.11.19	51	0.049	2	0.002	2	0.912	2	0.044	2	0.002	2	0.032	2	0.000	2	0.391	2	0.013	2	0.000	2	0.084	2	0.004	2	0.981	2	0.082	2	0.003	2	1.007	2	0.004	2	1.596	2	1.606	2	0.006	2	0.299	2	0.001	2	0.626	2	0.187	2	0.000	2
4	05.11.19	52	0.064	2	0.001	2	0.912	2	0.058	2	0.001	2	0.021	2	0.000	2	0.391	2	0.008	2	0.000	2	0.044	2	0.003	2	0.981	2	0.043	2	0.003	2	1.212	2	0.007	2	1.596	2	1.934	2	0.011	2	0.281	2	0.001	2	0.626	2	0.176	2	0.001	2
4	05.11.19	53	0.086	2	0.003	2	0.912	2	0.078	2	0.003	2	0.025	2	0.000	2	0.391	2	0.010	2	0.000	2	0.174	2	0.000	2	0.981	2	0.171	2	0.000	2	0.494	2	0.001	2	1.596	2	0.788	2	0.002	2	0.581	2	0.004	2	0.626	2	0.364	2	0.002	2
